"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
10694,2438,2487,6937,3757,1.00331e+13,59.757,3467.44,10694,1211,72,8207,8207,8150,8157,8146
41531,13799,17971,25464,16067,7.34088e+12,56.2423,20215,41531,8749,72,23560,23560,21364,18449,17838
87913,17245,20404,57010,30903,9.91932e+12,60.1444,25793.5,87913,9934,72,67509,67509,62929,62830,57478
19653,1601,9346,11912,7741,6.7606e+12,56.0151,10515.9,19653,4538,72,10307,10307,5930,3328,2590
76474,23947,37461,59697,16777,78533900000,8.99651,38041.7,76474,33708,11,39013,39013,28293,29614,26985
86513,11519,20101,56112,30401,9.91264e+12,60.1318,25415.1,86513,9784,72,66412,66412,56066,41926,38573
49491,2295,21269,30379,19112,7.36489e+12,56.7887,23867.7,49491,10339,72,28222,28222,13405,7959,5190
74326,765,18443,47986,26340,9.71602e+12,59.8845,23029.1,74326,8984,72,55883,55883,32353,31803,3418
95293,10543,40588,58541,36752,7.4175e+12,56.7652,45091.8,95293,19757,72,54705,54705,33974,15265,9963
76987,17874,17928,49922,27065,9.90765e+12,60.1163,22732.9,76987,8730,72,59059,59059,59009,59013,59004
78428,2863,31322,48553,29875,7.75306e+12,57.4729,35293.4,78428,15248,72,47106,47106,21221,10393,5479
34146,6825,7967,22140,12006,9.90963e+12,60.0301,10408,34146,3875,72,26179,26179,24878,23174,22855
42382,903,9901,27482,14900,9.92596e+12,60.058,12810.2,42382,4823,72,32481,32481,19449,12777,3502
98482,22215,41416,60589,37893,7.48859e+12,57.1565,46082.8,98482,20177,72,57066,57066,49399,38839,36524
30900,8174,16886,18323,12577,5.87952e+12,55.0546,18370,30900,8221,72,14014,14014,11318,7907,7298
3160,694,792,2057,1103,9.70476e+12,58.1696,1185.89,3160,374,62,2368,2368,2273,2230,2227
52770,915,18025,33211,19559,8.51011e+12,57.9824,21104.3,52770,8763,72,34745,34701,19999,9390,2093
56337,16165,18106,35650,20687,8.76744e+12,58.6728,21442.9,56337,8815,72,38231,38231,37295,36200,36390
32942,227,2072,26228,6714,5.72883e+13,11.9935,2659.6,32942,1351,14,30870,30870,18658,9553,25368
9145,2171,2640,5853,3292,9.25072e+12,58.6589,3463.84,9145,1277,72,6505,6505,5961,5290,5210
4515,407,1331,2878,1637,9.30449e+12,55.6206,1817.95,4515,642,70,3184,3184,1636,834,609
20906,1363,4880,13556,7350,9.93911e+12,59.9535,6529.5,20906,2371,72,16026,16026,10921,10816,4794
43719,3260,10212,28351,15368,9.91476e+12,60.0544,13198.3,43719,4971,72,33507,33507,23403,16348,11070
86808,18925,20160,56300,30508,9.91813e+12,60.1358,25488.2,86808,9818,72,66648,66648,65174,63189,62882
34663,322,8100,22481,12182,9.89707e+12,60.0015,10570.7,34663,3932,72,26563,26563,15264,15035,1431
6910,888,2094,4405,2505,9.09959e+12,58.2589,2751.25,6910,1011,72,4816,4816,3818,2716,2764
16905,243,3970,10955,5950,9.91569e+12,59.8811,5365.21,16905,1932,72,12935,12935,3911,4315,1037
63791,10309,23161,39903,23888,8.22367e+12,58.0396,26670.3,63791,11275,72,40630,40630,31194,20055,19807
42622,116,2109,33813,8809,5.81141e+13,11.9954,2783.87,42622,1770,14,40513,40513,24709,11818,33454
69128,12060,19751,44188,24940,9.22309e+12,59.2668,23881.5,69128,9612,72,49377,49377,42810,41173,31798
45921,9955,10711,29772,16149,9.90313e+12,60.0749,13827.2,45921,5208,72,35210,35210,34409,34205,33223
73930,26150,29000,45850,28080,7.85596e+12,57.3004,32815.5,73930,14122,72,44930,44930,42897,42810,40651
13144,1984,3116,8526,4618,9.934e+12,59.7506,4258.73,13144,1517,72,10028,10028,8469,8425,6751
